title,slug,url,difficulty,acceptance_rate,prompt,examples,tags
Maximum Containers on a Ship,maximum-containers-on-a-ship,https://leetcode.com/problems/maximum-containers-on-a-ship/,1,74.39,,,
Find Time Required to Eliminate Bacterial Strains,find-time-required-to-eliminate-bacterial-strains,https://leetcode.com/problems/find-time-required-to-eliminate-bacterial-strains/,3,55.56,,,
Smallest Palindromic Rearrangement II,smallest-palindromic-rearrangement-ii,https://leetcode.com/problems/smallest-palindromic-rearrangement-ii/,3,11.6,,,
DNA Pattern Recognition ,dna-pattern-recognition,https://leetcode.com/problems/dna-pattern-recognition/,2,86.76,,,
Reverse Degree of a String,reverse-degree-of-a-string,https://leetcode.com/problems/reverse-degree-of-a-string/,1,86.58,,,
Smallest Palindromic Rearrangement I,smallest-palindromic-rearrangement-i,https://leetcode.com/problems/smallest-palindromic-rearrangement-i/,2,62.58,,,
Count Numbers with Non-Decreasing Digits ,count-numbers-with-non-decreasing-digits,https://leetcode.com/problems/count-numbers-with-non-decreasing-digits/,3,32.97,,,
Longest Palindrome After Substring Concatenation II,longest-palindrome-after-substring-concatenation-ii,https://leetcode.com/problems/longest-palindrome-after-substring-concatenation-ii/,3,15.35,,,
Properties Graph,properties-graph,https://leetcode.com/problems/properties-graph/,2,46.48,,,
Maximum Coin Collection ,maximum-coin-collection,https://leetcode.com/problems/maximum-coin-collection/,2,53.14,,,
Maximize Active Section with Trade I,maximize-active-section-with-trade-i,https://leetcode.com/problems/maximize-active-section-with-trade-i/,2,29.45,,,
Maximize Active Section with Trade II,maximize-active-section-with-trade-ii,https://leetcode.com/problems/maximize-active-section-with-trade-ii/,3,18.42,,,
Find Products with Valid Serial Numbers,find-products-with-valid-serial-numbers,https://leetcode.com/problems/find-products-with-valid-serial-numbers/,1,77.05,,,
Count Beautiful Numbers,count-beautiful-numbers,https://leetcode.com/problems/count-beautiful-numbers/,3,20.65,,,
Unique 3-Digit Even Numbers,unique-3-digit-even-numbers,https://leetcode.com/problems/unique-3-digit-even-numbers/,1,66.01,,,
Longest Special Path II,longest-special-path-ii,https://leetcode.com/problems/longest-special-path-ii/,3,16.2,,,
Design Spreadsheet,design-spreadsheet,https://leetcode.com/problems/design-spreadsheet/,2,67.95,,,
Zero Array Transformation IV,zero-array-transformation-iv,https://leetcode.com/problems/zero-array-transformation-iv/,2,29.08,,,
Longest Common Prefix After at Most One Removal,longest-common-prefix-after-at-most-one-removal,https://leetcode.com/problems/longest-common-prefix-after-at-most-one-removal/,2,68.52,,,
Find the Minimum Amount of Time to Brew Potions,find-the-minimum-amount-of-time-to-brew-potions,https://leetcode.com/problems/find-the-minimum-amount-of-time-to-brew-potions/,2,34.07,,,
Longest Palindrome After Substring Concatenation I,longest-palindrome-after-substring-concatenation-i,https://leetcode.com/problems/longest-palindrome-after-substring-concatenation-i/,2,43.02,,,
Find Invalid IP Addresses,find-invalid-ip-addresses,https://leetcode.com/problems/find-invalid-ip-addresses/,3,57.4,,,
Fruits Into Baskets III,fruits-into-baskets-iii,https://leetcode.com/problems/fruits-into-baskets-iii/,2,21.36,,,
Fruits Into Baskets II,fruits-into-baskets-ii,https://leetcode.com/problems/fruits-into-baskets-ii/,1,51.79,,,
Maximum Unique Subarray Sum After Deletion,maximum-unique-subarray-sum-after-deletion,https://leetcode.com/problems/maximum-unique-subarray-sum-after-deletion/,1,27.07,,,
Maximize Subarrays After Removing One Conflicting Pair,maximize-subarrays-after-removing-one-conflicting-pair,https://leetcode.com/problems/maximize-subarrays-after-removing-one-conflicting-pair/,3,32.32,,,
Maximum Students on a Single Bench,maximum-students-on-a-single-bench,https://leetcode.com/problems/maximum-students-on-a-single-bench/,1,86.21,,,
Find the Number of Copy Arrays,find-the-number-of-copy-arrays,https://leetcode.com/problems/find-the-number-of-copy-arrays/,2,45.61,,,
Longest Common Prefix of K Strings After Removal,longest-common-prefix-of-k-strings-after-removal,https://leetcode.com/problems/longest-common-prefix-of-k-strings-after-removal/,3,19.94,,,
Permutations IV,permutations-iv,https://leetcode.com/problems/permutations-iv/,3,26.68,,,
Longest Palindromic Subsequence After at Most K Operations,longest-palindromic-subsequence-after-at-most-k-operations,https://leetcode.com/problems/longest-palindromic-subsequence-after-at-most-k-operations/,2,36.01,,,
Find Valid Emails,find-valid-emails,https://leetcode.com/problems/find-valid-emails/,1,56.9,,,
Permutations III,permutations-iii,https://leetcode.com/problems/permutations-iii/,2,85.3,,,
Maximize the Distance Between Points on a Square,maximize-the-distance-between-points-on-a-square,https://leetcode.com/problems/maximize-the-distance-between-points-on-a-square/,3,18.82,,,
Eat Pizzas!,eat-pizzas,https://leetcode.com/problems/eat-pizzas/,2,32.21,,,
Transform Array by Parity,transform-array-by-parity,https://leetcode.com/problems/transform-array-by-parity/,1,89.17,,,
Maximum Product of Subsequences With an Alternating Sum Equal to K,maximum-product-of-subsequences-with-an-alternating-sum-equal-to-k,https://leetcode.com/problems/maximum-product-of-subsequences-with-an-alternating-sum-equal-to-k/,3,10.37,,,
Find Minimum Cost to Remove Array Elements,find-minimum-cost-to-remove-array-elements,https://leetcode.com/problems/find-minimum-cost-to-remove-array-elements/,2,17.8,,,
Minimum Pair Removal to Sort Array I,minimum-pair-removal-to-sort-array-i,https://leetcode.com/problems/minimum-pair-removal-to-sort-array-i/,1,55.92,,,
Check If Digits Are Equal in String After Operations II,check-if-digits-are-equal-in-string-after-operations-ii,https://leetcode.com/problems/check-if-digits-are-equal-in-string-after-operations-ii/,3,9.24,,,
Separate Squares II,separate-squares-ii,https://leetcode.com/problems/separate-squares-ii/,3,18.47,,,
Minimum Pair Removal to Sort Array II,minimum-pair-removal-to-sort-array-ii,https://leetcode.com/problems/minimum-pair-removal-to-sort-array-ii/,3,12.69,,,
Select K Disjoint Special Substrings,select-k-disjoint-special-substrings,https://leetcode.com/problems/select-k-disjoint-special-substrings/,2,17.64,,,
Check If Digits Are Equal in String After Operations I,check-if-digits-are-equal-in-string-after-operations-i,https://leetcode.com/problems/check-if-digits-are-equal-in-string-after-operations-i/,1,77.23,,,
Find Students Who Improved,find-students-who-improved,https://leetcode.com/problems/find-students-who-improved/,2,47.8,,,
Lexicographically Smallest Generated String,lexicographically-smallest-generated-string,https://leetcode.com/problems/lexicographically-smallest-generated-string/,3,29.18,,,
Minimum Cost to Divide Array Into Subarrays,minimum-cost-to-divide-array-into-subarrays,https://leetcode.com/problems/minimum-cost-to-divide-array-into-subarrays/,3,22.26,,,
Maximum Sum With at Most K Elements,maximum-sum-with-at-most-k-elements,https://leetcode.com/problems/maximum-sum-with-at-most-k-elements/,2,59.71,,,
Maximize the Minimum Game Score,maximize-the-minimum-game-score,https://leetcode.com/problems/maximize-the-minimum-game-score/,3,24.46,,,
Separate Squares I,separate-squares-i,https://leetcode.com/problems/separate-squares-i/,2,36.74,,,
Assign Elements to Groups with Constraints,assign-elements-to-groups-with-constraints,https://leetcode.com/problems/assign-elements-to-groups-with-constraints/,2,25.54,,,
Maximum Difference Between Even and Odd Frequency II,maximum-difference-between-even-and-odd-frequency-ii,https://leetcode.com/problems/maximum-difference-between-even-and-odd-frequency-ii/,3,18.38,,,
Choose K Elements With Maximum Sum,choose-k-elements-with-maximum-sum,https://leetcode.com/problems/choose-k-elements-with-maximum-sum/,2,30.81,,,
Minimum Unlocked Indices to Sort Nums,minimum-unlocked-indices-to-sort-nums,https://leetcode.com/problems/minimum-unlocked-indices-to-sort-nums/,2,60.98,,,
Find Products with Three Consecutive Digits ,find-products-with-three-consecutive-digits,https://leetcode.com/problems/find-products-with-three-consecutive-digits/,1,82.47,,,
Subsequences with a Unique Middle Mode II,subsequences-with-a-unique-middle-mode-ii,https://leetcode.com/problems/subsequences-with-a-unique-middle-mode-ii/,3,43.99,,,
Maximum Manhattan Distance After K Changes,maximum-manhattan-distance-after-k-changes,https://leetcode.com/problems/maximum-manhattan-distance-after-k-changes/,2,30.68,,,
Maximum Frequency After Subarray Operation,maximum-frequency-after-subarray-operation,https://leetcode.com/problems/maximum-frequency-after-subarray-operation/,2,23.46,,,
Unit Conversion II,unit-conversion-ii,https://leetcode.com/problems/unit-conversion-ii/,2,64.62,,,
Find the Lexicographically Largest String From the Box II,find-the-lexicographically-largest-string-from-the-box-ii,https://leetcode.com/problems/find-the-lexicographically-largest-string-from-the-box-ii/,3,50.56,,,
Maximum Difference Between Even and Odd Frequency I,maximum-difference-between-even-and-odd-frequency-i,https://leetcode.com/problems/maximum-difference-between-even-and-odd-frequency-i/,1,48.69,,,
Closest Equal Element Queries,closest-equal-element-queries,https://leetcode.com/problems/closest-equal-element-queries/,2,30.62,,,
Maximum Difference Between Adjacent Elements in a Circular Array,maximum-difference-between-adjacent-elements-in-a-circular-array,https://leetcode.com/problems/maximum-difference-between-adjacent-elements-in-a-circular-array/,1,66.49,,,
Sort Matrix by Diagonals,sort-matrix-by-diagonals,https://leetcode.com/problems/sort-matrix-by-diagonals/,2,70.29,,,
Minimum Operations to Make Array Elements Zero,minimum-operations-to-make-array-elements-zero,https://leetcode.com/problems/minimum-operations-to-make-array-elements-zero/,3,30.65,,,
Find Circular Gift Exchange Chains,find-circular-gift-exchange-chains,https://leetcode.com/problems/find-circular-gift-exchange-chains/,3,55.47,,,
Reschedule Meetings for Maximum Free Time I,reschedule-meetings-for-maximum-free-time-i,https://leetcode.com/problems/reschedule-meetings-for-maximum-free-time-i/,2,31.32,,,
Maximum Number of Matching Indices After Right Shifts,maximum-number-of-matching-indices-after-right-shifts,https://leetcode.com/problems/maximum-number-of-matching-indices-after-right-shifts/,2,85.66,,,
Make Array Non-decreasing,make-array-non-decreasing,https://leetcode.com/problems/make-array-non-decreasing/,2,53.28,,,
Manhattan Distances of All Arrangements of Pieces,manhattan-distances-of-all-arrangements-of-pieces,https://leetcode.com/problems/manhattan-distances-of-all-arrangements-of-pieces/,3,32.53,,,
Reschedule Meetings for Maximum Free Time II,reschedule-meetings-for-maximum-free-time-ii,https://leetcode.com/problems/reschedule-meetings-for-maximum-free-time-ii/,2,39.44,,,
Paint House IV,paint-house-iv,https://leetcode.com/problems/paint-house-iv/,2,43.2,,,
Design a 3D Binary Matrix with Efficient Layer Tracking,design-a-3d-binary-matrix-with-efficient-layer-tracking,https://leetcode.com/problems/design-a-3d-binary-matrix-with-efficient-layer-tracking/,2,67.48,,,
Find Valid Pair of Adjacent Digits in String,find-valid-pair-of-adjacent-digits-in-string,https://leetcode.com/problems/find-valid-pair-of-adjacent-digits-in-string/,1,59.24,,,
Length of Longest V-Shaped Diagonal Segment,length-of-longest-v-shaped-diagonal-segment,https://leetcode.com/problems/length-of-longest-v-shaped-diagonal-segment/,3,33.39,,,
Calculate Score After Performing Instructions,calculate-score-after-performing-instructions,https://leetcode.com/problems/calculate-score-after-performing-instructions/,2,54.83,,,
Sum of Variable Length Subarrays,sum-of-variable-length-subarrays,https://leetcode.com/problems/sum-of-variable-length-subarrays/,1,84.92,,,
Unit Conversion I,unit-conversion-i,https://leetcode.com/problems/unit-conversion-i/,2,56.16,,,
Longest Team Pass Streak,longest-team-pass-streak,https://leetcode.com/problems/longest-team-pass-streak/,3,43.33,,,
Maximum and Minimum Sums of at Most Size K Subarrays,maximum-and-minimum-sums-of-at-most-size-k-subarrays,https://leetcode.com/problems/maximum-and-minimum-sums-of-at-most-size-k-subarrays/,3,22.35,,,
Sum of Good Numbers,sum-of-good-numbers,https://leetcode.com/problems/sum-of-good-numbers/,1,69.01,,,
Sum of K Subarrays With Length at Least M,sum-of-k-subarrays-with-length-at-least-m,https://leetcode.com/problems/sum-of-k-subarrays-with-length-at-least-m/,2,24.55,,,
Minimize the Maximum Edge Weight of Graph,minimize-the-maximum-edge-weight-of-graph,https://leetcode.com/problems/minimize-the-maximum-edge-weight-of-graph/,2,42.31,,,
Count Mentions Per User,count-mentions-per-user,https://leetcode.com/problems/count-mentions-per-user/,2,29.83,,,
Minimum Runes to Add to Cast Spell,minimum-runes-to-add-to-cast-spell,https://leetcode.com/problems/minimum-runes-to-add-to-cast-spell/,3,45.45,,,
Team Dominance by Pass Success,team-dominance-by-pass-success,https://leetcode.com/problems/team-dominance-by-pass-success/,3,77.6,,,
Minimum Operations to Make Elements Within K Subarrays Equal,minimum-operations-to-make-elements-within-k-subarrays-equal,https://leetcode.com/problems/minimum-operations-to-make-elements-within-k-subarrays-equal/,3,27.1,,,
Longest Subsequence With Decreasing Adjacent Difference,longest-subsequence-with-decreasing-adjacent-difference,https://leetcode.com/problems/longest-subsequence-with-decreasing-adjacent-difference/,2,14.2,,,
Maximum and Minimum Sums of at Most Size K Subsequences,maximum-and-minimum-sums-of-at-most-size-k-subsequences,https://leetcode.com/problems/maximum-and-minimum-sums-of-at-most-size-k-subsequences/,2,20.02,,,
Maximum Coins From K Consecutive Bags,maximum-coins-from-k-consecutive-bags,https://leetcode.com/problems/maximum-coins-from-k-consecutive-bags/,2,23.22,,,
Minimum Cost to Make Arrays Identical,minimum-cost-to-make-arrays-identical,https://leetcode.com/problems/minimum-cost-to-make-arrays-identical/,2,36.26,,,
Frequencies of Shortest Supersequences,frequencies-of-shortest-supersequences,https://leetcode.com/problems/frequencies-of-shortest-supersequences/,3,15.06,,,
First Letter Capitalization II,first-letter-capitalization-ii,https://leetcode.com/problems/first-letter-capitalization-ii/,3,76.04,,,
Design an Array Statistics Tracker ,design-an-array-statistics-tracker,https://leetcode.com/problems/design-an-array-statistics-tracker/,3,34.23,,,
Find Special Substring of Length K,find-special-substring-of-length-k,https://leetcode.com/problems/find-special-substring-of-length-k/,1,35.04,,,
Find the Most Common Response,find-the-most-common-response,https://leetcode.com/problems/find-the-most-common-response/,2,73.47,,,
Zigzag Grid Traversal With Skip,zigzag-grid-traversal-with-skip,https://leetcode.com/problems/zigzag-grid-traversal-with-skip/,1,63.16,,,
Find the Largest Almost Missing Integer,find-the-largest-almost-missing-integer,https://leetcode.com/problems/find-the-largest-almost-missing-integer/,1,36.53,,,
Count Partitions with Even Sum Difference,count-partitions-with-even-sum-difference,https://leetcode.com/problems/count-partitions-with-even-sum-difference/,1,72.15,,,
Smallest Substring With Identical Characters II,smallest-substring-with-identical-characters-ii,https://leetcode.com/problems/smallest-substring-with-identical-characters-ii/,3,40.34,,,
First Letter Capitalization,first-letter-capitalization,https://leetcode.com/problems/first-letter-capitalization/,3,88.17,,,
Maximum Subarray With Equal Products,maximum-subarray-with-equal-products,https://leetcode.com/problems/maximum-subarray-with-equal-products/,1,44.71,,,
Subsequences with a Unique Middle Mode I,subsequences-with-a-unique-middle-mode-i,https://leetcode.com/problems/subsequences-with-a-unique-middle-mode-i/,3,16.74,,,
Minimum Cost Good Caption,minimum-cost-good-caption,https://leetcode.com/problems/minimum-cost-good-caption/,3,18.6,,,
Minimum Operations to Make Subarray Elements Equal,minimum-operations-to-make-subarray-elements-equal,https://leetcode.com/problems/minimum-operations-to-make-subarray-elements-equal/,2,49.49,,,
Minimum Increments for Target Multiples in an Array,minimum-increments-for-target-multiples-in-an-array,https://leetcode.com/problems/minimum-increments-for-target-multiples-in-an-array/,3,25.0,,,
Count Substrings Divisible By Last Digit,count-substrings-divisible-by-last-digit,https://leetcode.com/problems/count-substrings-divisible-by-last-digit/,3,20.46,,,
Books with NULL Ratings,books-with-null-ratings,https://leetcode.com/problems/books-with-null-ratings/,1,91.08,,,
Minimum Total Operations,minimum-total-operations,https://leetcode.com/problems/minimum-total-operations/,1,63.24,,,
Minimum Time to Break Locks II,minimum-time-to-break-locks-ii,https://leetcode.com/problems/minimum-time-to-break-locks-ii/,3,45.49,,,
Count Special Subsequences,count-special-subsequences,https://leetcode.com/problems/count-special-subsequences/,2,28.45,,,
Shortest Matching Substring,shortest-matching-substring,https://leetcode.com/problems/shortest-matching-substring/,3,21.54,,,
Minimum Operations to Make Columns Strictly Increasing,minimum-operations-to-make-columns-strictly-increasing,https://leetcode.com/problems/minimum-operations-to-make-columns-strictly-increasing/,1,71.92,,,
Smallest Substring With Identical Characters I,smallest-substring-with-identical-characters-i,https://leetcode.com/problems/smallest-substring-with-identical-characters-i/,3,18.92,,,
Maximize Subarray Sum After Removing All Occurrences of One Element,maximize-subarray-sum-after-removing-all-occurrences-of-one-element,https://leetcode.com/problems/maximize-subarray-sum-after-removing-all-occurrences-of-one-element/,3,19.12,,,
Maximum Area Rectangle With Point Constraints II,maximum-area-rectangle-with-point-constraints-ii,https://leetcode.com/problems/maximum-area-rectangle-with-point-constraints-ii/,3,20.26,,,
Longest Special Path,longest-special-path,https://leetcode.com/problems/longest-special-path/,3,19.75,,,
Count Beautiful Splits in an Array,count-beautiful-splits-in-an-array,https://leetcode.com/problems/count-beautiful-splits-in-an-array/,2,15.15,,,
Count Subarrays of Length Three With a Condition,count-subarrays-of-length-three-with-a-condition,https://leetcode.com/problems/count-subarrays-of-length-three-with-a-condition/,1,62.05,,,
Find the Lexicographically Largest String From the Box I,find-the-lexicographically-largest-string-from-the-box-i,https://leetcode.com/problems/find-the-lexicographically-largest-string-from-the-box-i/,2,23.48,,,
Substring Matching Pattern,substring-matching-pattern,https://leetcode.com/problems/substring-matching-pattern/,1,26.16,,,
Count the Number of Arrays with K Matching Adjacent Elements,count-the-number-of-arrays-with-k-matching-adjacent-elements,https://leetcode.com/problems/count-the-number-of-arrays-with-k-matching-adjacent-elements/,3,31.19,,,
Maximum Area Rectangle With Point Constraints I,maximum-area-rectangle-with-point-constraints-i,https://leetcode.com/problems/maximum-area-rectangle-with-point-constraints-i/,2,49.37,,,
Count Connected Components in LCM Graph,count-connected-components-in-lcm-graph,https://leetcode.com/problems/count-connected-components-in-lcm-graph/,3,27.87,,,
Design Task Manager,design-task-manager,https://leetcode.com/problems/design-task-manager/,2,33.95,,,
Maximum Sized Array,maximum-sized-array,https://leetcode.com/problems/maximum-sized-array/,2,52.11,,,
Maximum Amount of Money Robot Can Earn,maximum-amount-of-money-robot-can-earn,https://leetcode.com/problems/maximum-amount-of-money-robot-can-earn/,2,28.48,,,
Smallest Number With All Set Bits,smallest-number-with-all-set-bits,https://leetcode.com/problems/smallest-number-with-all-set-bits/,1,75.71,,,
Count Non-Decreasing Subarrays After K Operations,count-non-decreasing-subarrays-after-k-operations,https://leetcode.com/problems/count-non-decreasing-subarrays-after-k-operations/,3,20.07,,,
Second Highest Salary II,second-highest-salary-ii,https://leetcode.com/problems/second-highest-salary-ii/,2,89.98,,,
Count Paths With the Given XOR Value,count-paths-with-the-given-xor-value,https://leetcode.com/problems/count-paths-with-the-given-xor-value/,2,39.41,,,
Maximize Sum of Weights after Edge Removals,maximize-sum-of-weights-after-edge-removals,https://leetcode.com/problems/maximize-sum-of-weights-after-edge-removals/,3,28.7,,,
Minimize the Maximum Adjacent Element Difference,minimize-the-maximum-adjacent-element-difference,https://leetcode.com/problems/minimize-the-maximum-adjacent-element-difference/,3,15.17,,,
Check if Grid can be Cut into Sections,check-if-grid-can-be-cut-into-sections,https://leetcode.com/problems/check-if-grid-can-be-cut-into-sections/,2,68.47,,,
Minimum Number of Operations to Make Elements in Array Distinct,minimum-number-of-operations-to-make-elements-in-array-distinct,https://leetcode.com/problems/minimum-number-of-operations-to-make-elements-in-array-distinct/,1,71.56,,,
Minimum Array Sum,minimum-array-sum,https://leetcode.com/problems/minimum-array-sum/,2,29.3,,,
Digit Operations to Make Two Integers Equal,digit-operations-to-make-two-integers-equal,https://leetcode.com/problems/digit-operations-to-make-two-integers-equal/,2,26.35,,,
Maximum Subarray Sum With Length Divisible by K,maximum-subarray-sum-with-length-divisible-by-k,https://leetcode.com/problems/maximum-subarray-sum-with-length-divisible-by-k/,2,26.64,,,
Find Sorted Submatrices With Maximum Element at Most K,find-sorted-submatrices-with-maximum-element-at-most-k,https://leetcode.com/problems/find-sorted-submatrices-with-maximum-element-at-most-k/,3,49.9,,,
Transformed Array,transformed-array,https://leetcode.com/problems/transformed-array/,1,56.34,,,
Find Cities in Each State II,find-cities-in-each-state-ii,https://leetcode.com/problems/find-cities-in-each-state-ii/,2,69.97,,,
Find the Maximum Number of Fruits Collected,find-the-maximum-number-of-fruits-collected,https://leetcode.com/problems/find-the-maximum-number-of-fruits-collected/,3,39.36,,,
Minimum Time to Break Locks I,minimum-time-to-break-locks-i,https://leetcode.com/problems/minimum-time-to-break-locks-i/,2,29.95,,,
Sum of Good Subsequences,sum-of-good-subsequences,https://leetcode.com/problems/sum-of-good-subsequences/,3,29.5,,,
Zero Array Transformation III,zero-array-transformation-iii,https://leetcode.com/problems/zero-array-transformation-iii/,2,26.17,,,
Maximize the Number of Target Nodes After Connecting Trees II,maximize-the-number-of-target-nodes-after-connecting-trees-ii,https://leetcode.com/problems/maximize-the-number-of-target-nodes-after-connecting-trees-ii/,3,53.85,,,
Minimum Positive Sum Subarray ,minimum-positive-sum-subarray,https://leetcode.com/problems/minimum-positive-sum-subarray/,1,44.92,,,
Zero Array Transformation II,zero-array-transformation-ii,https://leetcode.com/problems/zero-array-transformation-ii/,2,43.68,,,
Premier League Table Ranking III,premier-league-table-ranking-iii,https://leetcode.com/problems/premier-league-table-ranking-iii/,2,71.73,,,
Zero Array Transformation I,zero-array-transformation-i,https://leetcode.com/problems/zero-array-transformation-i/,2,46.08,,,
Maximum Frequency of an Element After Performing Operations II,maximum-frequency-of-an-element-after-performing-operations-ii,https://leetcode.com/problems/maximum-frequency-of-an-element-after-performing-operations-ii/,3,37.08,,,
Minimum Operations to Make Character Frequencies Equal,minimum-operations-to-make-character-frequencies-equal,https://leetcode.com/problems/minimum-operations-to-make-character-frequencies-equal/,3,24.49,,,
Count Number of Balanced Permutations,count-number-of-balanced-permutations,https://leetcode.com/problems/count-number-of-balanced-permutations/,3,15.89,,,
Check Balanced String,check-balanced-string,https://leetcode.com/problems/check-balanced-string/,1,80.41,,,
Smallest Divisible Digit Product II,smallest-divisible-digit-product-ii,https://leetcode.com/problems/smallest-divisible-digit-product-ii/,3,10.14,,,
Find Mirror Score of a String,find-mirror-score-of-a-string,https://leetcode.com/problems/find-mirror-score-of-a-string/,2,33.59,,,
Maximize the Number of Target Nodes After Connecting Trees I,maximize-the-number-of-target-nodes-after-connecting-trees-i,https://leetcode.com/problems/maximize-the-number-of-target-nodes-after-connecting-trees-i/,2,47.99,,,
Button with Longest Push Time,button-with-longest-push-time,https://leetcode.com/problems/button-with-longest-push-time/,1,40.44,,,
Count K-Reducible Numbers Less Than N,count-k-reducible-numbers-less-than-n,https://leetcode.com/problems/count-k-reducible-numbers-less-than-n/,3,24.62,,,
Total Characters in String After Transformations II,total-characters-in-string-after-transformations-ii,https://leetcode.com/problems/total-characters-in-string-after-transformations-ii/,3,31.53,,,
Find Minimum Time to Reach Last Room II,find-minimum-time-to-reach-last-room-ii,https://leetcode.com/problems/find-minimum-time-to-reach-last-room-ii/,2,48.94,,,
Total Characters in String After Transformations I,total-characters-in-string-after-transformations-i,https://leetcode.com/problems/total-characters-in-string-after-transformations-i/,2,26.41,,,
Find Minimum Time to Reach Last Room I,find-minimum-time-to-reach-last-room-i,https://leetcode.com/problems/find-minimum-time-to-reach-last-room-i/,2,35.86,,,
Stone Removal Game,stone-removal-game,https://leetcode.com/problems/stone-removal-game/,1,41.42,,,
Smallest Divisible Digit Product I,smallest-divisible-digit-product-i,https://leetcode.com/problems/smallest-divisible-digit-product-i/,1,63.75,,,
Sum of Consecutive Subsequences,sum-of-consecutive-subsequences,https://leetcode.com/problems/sum-of-consecutive-subsequences/,3,39.91,,,
Find Top Performing Driver,find-top-performing-driver,https://leetcode.com/problems/find-top-performing-driver/,2,49.27,,,
Maximum Frequency of an Element After Performing Operations I,maximum-frequency-of-an-element-after-performing-operations-i,https://leetcode.com/problems/maximum-frequency-of-an-element-after-performing-operations-i/,2,20.72,,,
Minimum Operations to Make Array Values Equal to K,minimum-operations-to-make-array-values-equal-to-k,https://leetcode.com/problems/minimum-operations-to-make-array-values-equal-to-k/,1,73.48,,,
Maximum Number of Distinct Elements After Operations,maximum-number-of-distinct-elements-after-operations,https://leetcode.com/problems/maximum-number-of-distinct-elements-after-operations/,2,30.79,,,
Find the Original Typed String II,find-the-original-typed-string-ii,https://leetcode.com/problems/find-the-original-typed-string-ii/,3,14.51,,,
Adjacent Increasing Subarrays Detection II,adjacent-increasing-subarrays-detection-ii,https://leetcode.com/problems/adjacent-increasing-subarrays-detection-ii/,2,40.76,,,
Convert Doubly Linked List to Array II,convert-doubly-linked-list-to-array-ii,https://leetcode.com/problems/convert-doubly-linked-list-to-array-ii/,2,81.46,,,
